タイトル,NOTES,PEAK,SCRATCH,SOF-LAN,CHARGE,CHORD,ノート数
fun,56.96,64.27,50.28,98.57,0,21.58,0
Bad Maniacs,81.2,92.84,50.24,0,0,47.55,0
invoker,78.03,68.57,50.13,0,0,43.04,0
ヒマワリ,80.39,68.56,50.08,0,0,58.53,0
Necroxis Girl,85.03,81.41,50.06,0,33.11,46.68,0
PLEASE DON'T GO,59.04,52.84,49.94,0,0,15.76,0
Scripted Connection⇒ N mix,73.5,71.42,49.92,0,0,43.54,0
SPEED DEMON,59.8,57.13,49.73,0,31.07,26.69,0
THE TIME MACHINE,73.99,67.14,49.71,0,13.5,21.86,0
tripping contact(teranoid&MC Natsack Remix),83.78,103.93,49.65,0,0,51.04,0
THE DOOR INTO RAINBOW,69.09,67.14,49.58,0,40.3,44.12,0
Scarlet Moon,88.14,75.71,49.53,0,21.25,47.27,0
R∞tAge,63.5,59.99,49.53,0,14.08,42.3,0
Rave Cannon,73.59,72.85,49.31,0,18.58,55.89,0
3!dolon Forc3,66.64,70,49.27,63.08,0,33.32,0
恋愛=精度×認識力,95.9,95.7,49.24,171.46,28.42,102.74,1220
mosaic,98.12,97.13,49.04,0,0,100.06,0
Persephone,80.69,75.7,49.04,0,0,68.92,0
神っぽいな,66.51,58.57,48.85,0,0,29.06,0
DIAMOND JACKAL,72.97,72.85,48.79,53.05,0,52.04,0
カジノファイヤーことみちゃん,63.8,60,48.56,0,0,39.48,0
THE FALLEN,70.23,64.27,48.54,0,0,45.09,0
THE BRAVE MUST DIE,97.12,88.56,48.53,0,51.25,50.9,0
Change Yourself,73.18,74.28,48.52,0,13.27,25.07,0
ORCA,100.72,94.27,48.48,0,0.45,72.68,0
THE SAFARI,103.06,92.83,48.37,0,0,86.58,0
COSMIC RAY,107.14,82.84,48.35,0,97.99,43.26,0
FUTURE is Dead,62.66,62.85,48.21,0,0,30.26,0
D,80.96,88.57,48.17,154.38,2.33,43.45,1004
High School Love,66.73,67.14,48.12,0,0,60.44,0
HYPE THE CORE,90.49,88.57,47.99,0,0,63.25,0
encounter,71.82,64.27,47.89,0,0,52.91,0
GENE,86.13,82.84,47.88,0,23.28,77.65,0
Quakes,91.61,97.13,47.57,0,2.64,67.9,0
Crazy Jackpot,70.94,57.13,47.54,0,0,26.9,0
No Day But Today!,66.12,58.56,47.46,0,21.24,32.73,0
Driver,55.07,55.7,47.46,0,0,34.2,0
VALKYRIAS -英雄誕生-,68.26,61.41,47.42,0,0,48.71,0
Friction[!]Function,72.01,68.57,47.23,0,7.49,23.57,0
EVANESCENT,99.21,81.42,47.18,105.12,3.27,48.49,0
3y3s,101.89,118.41,47.17,0,0,104.82,0
GO OVER WITH GLARE -ROOTAGE 26-,91.54,87.14,47.13,0,22.49,72.46,0
CaptivAte～裁き～(SUBLIME TECHNO MIX),61.53,61.41,47.13,0,0,41.73,0
Bad Encryption,86.38,94.28,47.11,0,1.39,53.17,0
DESIRE,85.43,75.7,47.11,0,0,42.25,0
Flying Castle,90.51,80,47.09,0,29.99,57.27,0
雨のちパノラマセカイ,58.25,62.85,47.08,0,0,55.45,0
ABSOLUTE (kors k Remix),60.19,57.13,47.06,0,100.2,23.29,0
Cyber True Color,67.79,77.13,46.92,0,0,28.43,0
Caterpillar,89.6,77.13,46.82,0,0,71.56,0
MENDES,117.53,107.88,46.81,0,0,95.78,0
CONTRACT,80.32,77.14,46.78,0,0,44.71,0
DIAVOLO,84.3,68.56,46.66,0,0,37.69,0
CaptivAte～浄化～,71.16,75.7,46.59,0,0,70.67,0
零 - ZERO -,72.88,62.84,46.57,0,0,42.87,0
REMINISCENCE,74.95,68.57,46.53,0,0,55.17,0
SigSig,68.1,60,46.51,0,0,49.57,0
Cosmic Cat,69.39,72.84,46.47,0,0,46.63,0
smooooch・∀・,70.6,62.84,46.47,0,0,49.53,0
voltississimo,95.25,87.14,46.46,0,77.02,67.07,0
グッバイ宣言,73.07,55.71,46.46,0,0,57.15,0
Close the World feat.a☆ru,88.88,78.56,46.37,0,0,78.56,0
Fegrix,93.08,77.13,46.29,0,0,36.69,0
恋はどう？モロ◎波動OK☆方程式!!,69,67.14,46.2,0,0,35.92,0
Move UR Body,76.6,78.56,46.16,0,26.86,43.73,0
QQQ,83.37,65.71,46.14,0,0,53.02,0
1st Samurai,90.5,80,46.08,14.96,0,42.05,0
apo:llioth,78.19,70,45.98,0,0,62.72,0
LADS,67.24,58.57,45.81,0,0,56.06,0
Almagest,112.59,95.7,45.8,0,127.04,37.8,0
THE DAY OF JUBILATIONS,104.87,82.84,45.8,0,0,96.21,0
二人ノ廃城幽踊宴,96.68,81.42,45.76,122.8,0,73.87,0
Triple Counter,86.33,87.14,45.59,0,27.67,83.55,0
閠槞彁の願い,87.67,87.13,45.5,0,20.39,44.32,0
illuminate,65.39,61.41,45.48,0,0.45,5.59,0
MARIA (I believe... ),68.73,62.84,45.45,0,0,50.32,0
Fantastic Merry-Go-Round,59.02,55.7,45.44,0,26.08,37.74,0
UNITE THE HEART,97.72,81.42,45.33,0,0,87.9,0
Wonderland,77.34,74.27,45.33,0,0,56.01,0
Bad Routine,59.4,72.84,45.33,0,0,60.02,0
Super Rush,73.95,75.7,45.22,0,0,60.74,0
starmine,66.6,64.27,45.21,0,0,42.47,0
Static State,73.44,71.42,45.16,0,47.38,41.26,0
Flashes,76.96,71.41,45.16,0,56.25,30.96,0
Glitch Nerds,57.49,55.71,45.08,0,43.14,30.32,0
Devil's Gear,88.01,91.42,45.07,0,0,79.23,0
純真可憐デザイア,64.48,58.57,45.03,0,0,35.15,0
鴉,94.8,91.42,44.98,0,0,100.81,0
取り残された美術(Arranged:HiZuMi),81.18,64.27,44.92,0,0,59.22,0
ra'am,90.94,100,44.91,49.47,37.17,90.85,0
AFRO KNUCKLE,71.45,98.57,44.84,0,0,68.14,0
Rubrum Piano,83.06,74.27,44.84,0,0,59.58,0
DESTINY,67.14,55.7,44.72,0,0,38.72,0
Timepiece phase II,106.32,118.4,44.7,0,0,76.46,0
LAB,90.07,88.57,44.63,0,0,54.35,0
ABSOLUTE EVIL,89.24,84.28,44.63,0,92.45,77.36,0
HAPPY☆ANGEL,68.45,57.14,44.63,0,0,45.1,0
LASER CRUSTER,103.47,92.83,44.62,0,0,55.9,0
in the Sky,89.13,88.56,44.53,0,0,101.5,0
花冠 feat.Aikapin,67.9,74.27,44.4,43.65,0,42.88,0
NNRT,93.35,91.41,44.27,15.62,0,96.58,0
Mermaid girl,69.06,82.85,44.08,0,0,69.89,0
アルストロメリア,63.04,52.84,43.99,0,0,37.5,0
Virus Funk,63.16,55.7,43.96,0,68.34,34.44,0
Wuv U,69.82,67.14,43.89,0,0,43.67,0
曼荼羅恋々,70.88,61.4,43.89,0,0,26.69,0
G59,93.35,84.27,43.84,0,0,72.96,0
Drive Me Crazy,58.81,51.41,43.82,0,0,32.76,0
Cookie Bouquets,81.91,71.42,43.81,0,0,79.52,0
AVE DE RAPINA,72.64,82.84,43.79,0,0,31.51,0
Music is The Answer,63.25,58.56,43.79,0,0,29.8,0
Cyber Force -DJ Yoshitaka Remix-,68.32,75.7,43.76,0,0,41.84,0
紫陽花 -AZISAI-,83.95,80,43.6,0,9.52,53.35,0
Ignis†Irae,95.29,84.27,43.57,34.73,106.45,44.83,0
TECHNOPHOBIA,77.22,74.28,43.57,0,0,41.7,0
KAMIKAZE,68.48,65.71,43.53,0,0,53.54,0
Abyss -The Heavens Remix-,79.89,82.84,43.44,0,0,52.82,0
CoMAAAAAAA,87.24,74.27,43.44,0,0,70.61,0
電人、暁に斃れる。,98.34,88.57,43.38,0,0,37.69,0
LADYBIRD,76.72,71.41,43.29,0,0,48.02,0
ACCELERATE,69.04,65.7,43.27,0,0,25.26,0
Beast mode,60.34,64.28,43.25,0,22.64,25.77,0
bag,64.66,52.85,43.23,0,0,16.76,0
Last Dance,82.22,87.14,43.19,0,0.92,37.3,0
LOVE SHINE,92.49,100,43.15,0,0,80.39,0
CaptivAte～誓い～,78.21,77.14,43.13,0,0,62.17,0
HELL SCAPER -Last Escape Remix-,62,89.99,43.12,0,0,50.96,0
four pieces of heaven,81.14,88.56,43.07,143.81,0,32.89,0
CODE:0,88.15,80,42.99,0,0,37.74,0
Castle on the Moon,83.71,79.99,42.99,0,0,48.87,0
禊,94.31,89.99,42.9,0,74.83,59.47,0
Playing With Fire,80.85,75.71,42.84,0,48.43,50.07,0
Free Style,55.97,51.41,42.84,0,0,23.68,0
Fire Beat,75.21,64.28,42.78,39.56,1.39,11.99,0
STAR BEAT,73.76,64.27,42.73,0,19.2,51.77,0
SOLID WYVERN,89.57,74.27,42.64,0,0,38.96,0
ラブキラ☆スプラッシュ,67.12,60,42.61,0,0,47.36,0
RESISTANCE,56.7,47.14,42.58,0,0,25.21,0
Programmed Life,83.91,72.84,42.48,0,0,38.37,0
BREAK OVER,58.62,58.56,42.44,16.24,0,16.88,0
Critical Crystal,80.76,71.42,42.29,0,57.5,53.02,0
PUNISHER,89.56,77.14,42.25,0,0,71.55,0
《GRANDMASTER》,76.69,71.41,42.24,0,16.86,27.94,0
たまゆら,83.03,111.83,42.21,0,0,82.61,0
